year,angola,burundi
2017,0,172
2016,3,694
2015,5,1186
2014,0,68
2013,6,193
2012,0,186
2011,2,110
2010,0,530
2009,8,762
2008,0,2889
2007,4,4545
2006,13,466
2005,21,214
2004,20,276
2003,21,16
2002,16,62
2001,34,109
