date,close
1,86
2,54
3,154
4,79
5,106
6,109
7,85
8,119
9,27
10,83
11,28
12,48
13,134
14,105
15,84
16,65
17,63
18,80
19,83
20,27
21,113
22,142
23,121
24,236
25,98
26,27
27,111
28,137
29,85
30,163
31,100
32,123
33,149
34,175
35,162
36,103
37,78
38,117
39,65
40,92
41,109
42,119
43,65
44,101
45,67
46,77
47,86
48,115
49,86
50,125
51,69
52,115
